element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-15-ab08ed86468bc425,A-004_poverty_rate_national,VNM,2004,19.5,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),15,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-16-84a9a8af41491a91,A-004_poverty_rate_national,VNM,2005,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),16,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-17-845fd9cec3645dcd,A-004_poverty_rate_national,VNM,2006,16,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),17,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-18-9354606de3ec2d4d,A-004_poverty_rate_national,VNM,2007,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),18,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-19-c3bd937c1c9134df,A-004_poverty_rate_national,VNM,2008,14.5,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),19,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-20-1ac2c387fc66e633,A-004_poverty_rate_national,VNM,2009,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),20,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-21-ad1526fe616f1bf2,A-004_poverty_rate_national,VNM,2010,20.7,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),21,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-22-6d843be71d0cb87e,A-004_poverty_rate_national,VNM,2011,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),22,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-23-c17a46366d5ec73d,A-004_poverty_rate_national,VNM,2012,17.2,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),23,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-24-672d1cc9f1d82e5f,A-004_poverty_rate_national,VNM,2013,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),24,
